title_id,newspaper_title,state,place_id,place,latitude,longitude
984,Adelaide Chronicle and South Australian Advertiser (SA : 1839 - 1840),SA,SA0055886,Adelaide,-34.92869,138.60102
986,Adelaide Chronicle and South Australian Literary Record (SA : 1840 - 1842),SA,SA0055886,Adelaide,-34.92869,138.60102
174,Adelaide Morning Chronicle (SA : 1852 - 1853),SA,SA0055886,Adelaide,-34.92869,138.60102
821,Adelaide Observer (SA : 1843 - 1904),SA,SA0055886,Adelaide,-34.92869,138.60102
1100,Adelaide Times (SA : 1848 - 1858),SA,SA0055886,Adelaide,-34.92869,138.60102
277,Adelaider Deutsche Zeitung (SA : 1851 - 1862),SA,SA0055886,Adelaide,-34.92869,138.60102
434,Adelong and Tumut  Express and Tumbarumba Post (NSW : 1900 - 1925),NSW,NSW81112,Adelong,-35.3049,148.069
434,Adelong and Tumut  Express and Tumbarumba Post (NSW : 1900 - 1925),NSW,NSW60433,Tumbarumba,-35.7652,148.0012
434,Adelong and Tumut  Express and Tumbarumba Post (NSW : 1900 - 1925),NSW,NSW79906,Tumut,-35.3041,148.2235
625,Adelong and Tumut Express (NSW : 1925),NSW,NSW81112,Adelong,-35.3049,148.069
625,Adelong and Tumut Express (NSW : 1925),NSW,NSW79906,Tumut,-35.3041,148.2235
435,"Adelong Argus, Tumut and Gundagai Advertiser (NSW : 1925)",NSW,NSW81112,Adelong,-35.3049,148.069
435,"Adelong Argus, Tumut and Gundagai Advertiser (NSW : 1925)",NSW,NSW82873,Gundagai,-35.0652,148.1012
435,"Adelong Argus, Tumut and Gundagai Advertiser (NSW : 1925)",NSW,NSW79906,Tumut,-35.3041,148.2235
295,"Advertiser (Footscray, Vic. : 1914 - 1918)",VIC,VIC101188,Footscray,-37.7983945,144.8994408
148,"Advertiser (Hurstbridge, Vic. : 1922 - 1939)",VIC,VIC101519,Hurstbridge,-37.6402013,145.1939676
45,"Advertiser and Register (Adelaide, SA : 1931)",SA,SA0055886,Adelaide,-34.92869,138.60102
46,"Advocate (Burnie, Tas. : 1890 - 1954)",TAS,TAS00933,Burnie,-41.04999924,145.8999939
792,"Advocate (Melbourne, Vic. : 1868 - 1954)",VIC,VIC102000,Melbourne,-37.8243016,144.9739883
175,Albany Advertiser (WA : 1897 - 1950),WA,WA100000252,Albany,-35.0174,117.8838
436,Albury Banner and Wodonga Express (NSW : 1896 - 1938),NSW,NSW78648,Albury,-36.0735,146.9145
627,Albury Banner Wodonga Express and Riverina Stock Journal (NSW : 1941),NSW,NSW78648,Albury,-36.0735,146.9145
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908 - 1949)",VIC,VIC100121,Acheron,-37.270525,145.7040751
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908 - 1949)",VIC,VIC100137,Alexandra,-37.1965757,145.7417406
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908 - 1949)",VIC,VIC101319,Gobur,-37.0102086,145.623804
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908 - 1949)",VIC,VIC103010,Thornton,-37.265313,145.8156473
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908 - 1949)",VIC,VIC103472,Yarck,-37.089722,145.6110035
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908 - 1949)",VIC,VIC103488,Yea,-37.2778802,145.4062115
155,"Alexandra and Yea Standard, Gobur, Thornton and Acheron Express (Vic. : 1877 - 1908)",VIC,VIC100121,Acheron,-37.270525,145.7040751
155,"Alexandra and Yea Standard, Gobur, Thornton and Acheron Express (Vic. : 1877 - 1908)",VIC,VIC100137,Alexandra,-37.1965757,145.7417406
155,"Alexandra and Yea Standard, Gobur, Thornton and Acheron Express (Vic. : 1877 - 1908)",VIC,VIC101319,Gobur,-37.0102086,145.623804
155,"Alexandra and Yea Standard, Gobur, Thornton and Acheron Express (Vic. : 1877 - 1908)",VIC,VIC103010,Thornton,-37.265313,145.8156473
