title,state,id,startDate,endDate,issn,number_of_articles,troveUrl
The Canberra Times (ACT : 1926 - 1995),ACT,11,1926-09-03,1995-12-31,01576925,2567113,https://trove.nla.gov.au/ndp/del/title/11
Papua New Guinea Post-Courier (Port Moresby : 1969 - 1981),International,1376,1969-06-30,1981-06-30,22087427,417472,https://trove.nla.gov.au/ndp/del/title/1376
The Australian Women's Weekly (1933 - 1982),National,112,1933-06-10,1982-12-15,00050458,225466,https://trove.nla.gov.au/ndp/del/title/112
"Torres News (Thursday Island, Qld. : 1957-2015)",Queensland,1489,1957-03-19,2015-12-21,26518678,171389,https://trove.nla.gov.au/ndp/del/title/1489
"Dutch Australian Weekly (Sydney, NSW : 1951 - 1993)",New South Wales,1044,1951-10-05,1993-07-19,22051902,159156,https://trove.nla.gov.au/ndp/del/title/1044
"Times (Victor Harbor, SA : 1987 - 1999)",South Australia,856,1987-01-07,1999-12-31,22040722,143726,https://trove.nla.gov.au/ndp/del/title/856
"The Argus (Melbourne, Vic. : 1848 - 1957)",Victoria,13,1848-09-15,1957-01-19,18339719,140299,https://trove.nla.gov.au/ndp/del/title/13
Victor Harbour Times (SA : 1932 - 1986),South Australia,832,1932-04-15,1986-12-31,22038213,126881,https://trove.nla.gov.au/ndp/del/title/832
"Tribune (Sydney, NSW : 1939 - 1991)",New South Wales,1002,1939-09-01,1991-04-03,22048790,103006,https://trove.nla.gov.au/ndp/del/title/1002
"Le Courrier Australien (Sydney, NSW : 1892 - 2011)",New South Wales,829,1892-04-30,2011-04-01,22038264,94500,https://trove.nla.gov.au/ndp/del/title/829
"The Biz (Fairfield, NSW : 1928 - 1972)",New South Wales,256,1928-11-03,1972-06-15,18397352,90068,https://trove.nla.gov.au/ndp/del/title/256
"Western Herald (Bourke, NSW : 1887 - 1970)",New South Wales,426,1887-10-26,1970-12-11,22013504,88437,https://trove.nla.gov.au/ndp/del/title/426
"The Riverine Herald (Echuca, Vic. : Moama, NSW : 1869 - 1954; 1998 - 2002)",New South Wales,311,1869-01-09,2002-12-30,2200159X,79244,https://trove.nla.gov.au/ndp/del/title/311
The Beverley Times (WA : 1905 - 1977),Western Australia,973,1905-07-22,1977-08-11,22048537,77862,https://trove.nla.gov.au/ndp/del/title/973
"Tharunka (Kensington, NSW : 1953 - 2010)",New South Wales,1187,1953-03-02,2010-10-01,22061703,54719,https://trove.nla.gov.au/ndp/del/title/1187
"Dutch Weekly (Sydney, NSW : 1993 - 2004)",New South Wales,1045,1993-08-02,2004-10-25,22051937,46560,https://trove.nla.gov.au/ndp/del/title/1045
"Nota (Hawks Nest and Tea Gardens, NSW : 1970 - 1999)",New South Wales,1501,1970-04-01,1999-08-19,26520311,40563,https://trove.nla.gov.au/ndp/del/title/1501
