title_id,full_title,title,place,dates,capture_date,capture_timestamp
34,"Advertiser (Adelaide, SA : 1889-1931)",Advertiser,"Adelaide, SA",1889 - 1931,2009-11-12,20091112000713
13,"Argus (Melbourne, Vic. : 1848-1954)",Argus,"Melbourne, VIC",1848 - 1954,2009-11-12,20091112000713
16,Brisbane Courier (Qld. : 1864-1933),Brisbane Courier,QLD,1864 - 1933,2009-11-12,20091112000713
11,Canberra Times (ACT : 1926-1954),Canberra Times,ACT,1926 - 1954,2009-11-12,20091112000713
24,"Colonial Times (Hobart, Tas. : 1828-1857)",Colonial Times,"Hobart, TAS",1828 - 1857,2009-11-12,20091112000713
23,"Colonial Times and Tasmanian Advertiser (Hobart, Tas. : 1825-1827)",Colonial Times and Tasmanian Advertiser,"Hobart, TAS",1825 - 1827,2009-11-12,20091112000713
15,"Courier (Brisbane, Qld. : 1861-1864)",Courier,"Brisbane, QLD",1861 - 1864,2009-11-12,20091112000713
21,"Courier (Hobart, Tas. : 1840-1859)",Courier,"Hobart, TAS",1840 - 1859,2009-11-12,20091112000713
12,"Courier-Mail (Brisbane, Qld. : 1933-1954)",Courier-Mail,"Brisbane, QLD",1933 - 1954,2009-11-12,20091112000713
19,Hobart Town Courier (Tas. : 1827-1839),Hobart Town Courier,TAS,1827 - 1839,2009-11-12,20091112000713
20,Hobart Town Courier and Van Diemen’s Land Gazette (Tas. : 1839-1840),Hobart Town Courier and Van Diemen’s Land Gazette,TAS,1839 - 1840,2009-11-12,20091112000713
33,Hobart Town Daily Mercury (Tas. : 1858-1860),Hobart Town Daily Mercury,TAS,1858 - 1860,2009-11-12,20091112000713
22,Hobart Town Gazette (Tas. : 1825-1827),Hobart Town Gazette,TAS,1825 - 1827,2009-11-12,20091112000713
4,Hobart Town Gazette and Southern Reporter (Tas. : 1816-1821),Hobart Town Gazette and Southern Reporter,TAS,1816 - 1821,2009-11-12,20091112000713
5,Hobart Town Gazette and Van Diemen’s Land Advertiser (Tas. : 1821-1825),Hobart Town Gazette and Van Diemen’s Land Advertiser,TAS,1821 - 1825,2009-11-12,20091112000713
32,Hobart Town Mercury (Tas. : 1857),Hobart Town Mercury,TAS,1857,2009-11-12,20091112000713
31,Hobarton Mercury (Tas. : 1854-1857),Hobarton Mercury,TAS,1854 - 1857,2009-11-12,20091112000713
8,Maitland Mercury & Hunter River General Advertiser (NSW : 1843-1893),Maitland Mercury & Hunter River General Advertiser,NSW,1843 - 1893,2009-11-12,20091112000713
18,Melbourne Argus (Vic. : 1846-1848),Melbourne Argus,VIC,1846 - 1848,2009-11-12,20091112000713
10,"Mercury (Hobart, Tas. : 1860-1954)",Mercury,"Hobart, TAS",1860 - 1954,2009-11-12,20091112000713
14,"Moreton Bay Courier (Brisbane, Qld. : 1846-1861)",Moreton Bay Courier,"Brisbane, QLD",1846 - 1861,2009-11-12,20091112000713
36,"Northern Territory Times (Darwin, NT : 1927-1932)",Northern Territory Times,"Darwin, NT",1927 - 1932,2009-11-12,20091112000713
9,"Northern Territory Times and Gazette (Darwin, NT : 1873-1927)",Northern Territory Times and Gazette,"Darwin, NT",1873 - 1927,2009-11-12,20091112000713
26,Perth Gazette and Independent Journal of Politics and News (WA : 1848-1864),Perth Gazette and Independent Journal of Politics and News,WA,1848 - 1864,2009-11-12,20091112000713
28,Perth Gazette and West Australian Times (WA : 1864-1874),Perth Gazette and West Australian Times,WA,1864 - 1874,2009-11-12,20091112000713
6,Perth Gazette and Western Australian Journal (WA : 1833-1847),Perth Gazette and Western Australian Journal,WA,1833 - 1847,2009-11-12,20091112000713
7,"South Australian Advertiser (Adelaide, SA : 1858-1889)",South Australian Advertiser,"Adelaide, SA",1858 - 1889,2009-11-12,20091112000713
39,"Sun-Herald (Sydney, NSW : 1953-1954)",Sun-Herald,"Sydney, NSW",1953 - 1954,2009-11-12,20091112000713
3,Sydney Gazette and New South Wales Advertiser (NSW : 1803-1842),Sydney Gazette and New South Wales Advertiser,NSW,1803 - 1842,2009-11-12,20091112000713
37,Sydney Herald (NSW : 1831-1842),Sydney Herald,NSW,1831 - 1842,2009-11-12,20091112000713
35,Sydney Morning Herald (NSW : 1842-1954),Sydney Morning Herald,NSW,1842 - 1954,2009-11-12,20091112000713
30,"West Australian (Perth, WA : 1879-1954)",West Australian,"Perth, WA",1879 - 1954,2009-11-12,20091112000713
27,"West Australian Times (Perth, WA : 1863-1864)",West Australian Times,"Perth, WA",1863 - 1864,2009-11-12,20091112000713
29,"Western Australian Times (Perth, WA : 1874-1879)",Western Australian Times,"Perth, WA",1874 - 1879,2009-11-12,20091112000713
43,Camperdown Chronicle (Vic. : 1877-1954),Camperdown Chronicle,VIC,1877 - 1954,2010-04-16,20100416034706
42,"Queenslander (Brisbane, Qld. : 1866-1939)",Queenslander,"Brisbane, QLD",1866 - 1939,2010-04-16,20100416034706
38,"Sunday Herald (Sydney, NSW : 1949-1953)",Sunday Herald,"Sydney, NSW",1949 - 1953,2010-04-16,20100416034706
44,"Advertiser (Adelaide, SA : 1931-1954)",Advertiser,"Adelaide, SA",1931 - 1954,2011-02-27,20110227214533
148,"Advertiser (Hurstbridge, Vic. : 1922-1939)",Advertiser,"Hurstbridge, VIC",1922 - 1939,2011-02-27,20110227214533
45,"Advertiser and Register (Adelaide, SA : 1931)",Advertiser and Register,"Adelaide, SA",1931,2011-02-27,20110227214533
156,"Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express (Vic. : 1908-1949)","Alexandra and Yea Standard and Yarck, Gobur, Thornton and Acheron Express",VIC,1908 - 1949,2011-02-27,20110227214533
155,"Alexandra and Yea Standard, Gobur, Thornton and Acheron Express (Vic. : 1877-1908)","Alexandra and Yea Standard, Gobur, Thornton and Acheron Express",VIC,1877 - 1908,2011-02-27,20110227214533
154,"Alexandra and Yea Standard, Thornton, Gobur and Acheron Express (Vic. : 1877)","Alexandra and Yea Standard, Thornton, Gobur and Acheron Express",VIC,1877,2011-02-27,20110227214533
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949-1954)","Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express",VIC,1949 - 1954,2011-02-27,20110227214533
153,Alexandra Times (Vic. : 1868-1877),Alexandra Times,VIC,1868 - 1877,2011-02-27,20110227214533
47,"Army News (Darwin, NT : 1941-1946)",Army News,"Darwin, NT",1941 - 1946,2011-02-27,20110227214533
48,"Australasian Chronicle (Sydney, NSW : 1839-1843)",Australasian Chronicle,"Sydney, NSW",1839 - 1843,2011-02-27,20110227214533
50,"Australian (Sydney, NSW : 1824-1848)",Australian,"Sydney, NSW",1824 - 1848,2011-02-27,20110227214533
51,Australian Abo Call (National : 1938),Australian Abo Call,NATIONAL,1938,2011-02-27,20110227214533
112,Australian Women's Weekly (1932-1982),Australian Women's Weekly,,1932 - 1982,2011-02-27,20110227214533
53,"Barrier Miner (Broken Hill, NSW : 1888-1954)",Barrier Miner,"Broken Hill, NSW",1888 - 1954,2011-02-27,20110227214533
114,Braidwood Independent (NSW : 1867),Braidwood Independent,NSW,1867,2011-02-27,20110227214533
59,Burra Record (SA : 1878-1954),Burra Record,SA,1878 - 1954,2011-02-27,20110227214533
62,Cairns Morning Post (Qld. : 1907-1909),Cairns Morning Post,QLD,1907 - 1909,2011-02-27,20110227214533
60,Cairns Post (Qld. : 1884-1893),Cairns Post,QLD,1884 - 1893,2011-02-27,20110227214533
61,Cairns Post (Qld. : 1909-1954),Cairns Post,QLD,1909 - 1954,2011-02-27,20110227214533
66,"Colonist (Sydney, NSW : 1835-1840)",Colonist,"Sydney, NSW",1835 - 1840,2011-02-27,20110227214533
149,Eltham and Whittlesea Shires Advertiser (Vic. : 1940-1942),Eltham and Whittlesea Shires Advertiser,VIC,1940 - 1942,2011-02-27,20110227214533
147,Eltham and Whittlesea Shires Advertiser and Diamond Creek Valley Advocate (Vic. : 1917-1922),Eltham and Whittlesea Shires Advertiser and Diamond Creek Valley Advocate,VIC,1917 - 1922,2011-02-27,20110227214533
68,"Examiner (Launceston, Tas. : 1900-1954)",Examiner,"Launceston, TAS",1900 - 1954,2011-02-27,20110227214533
69,"Federal Capital Pioneer (Canberra, ACT : 1924-1926)",Federal Capital Pioneer,"Canberra, ACT",1924 - 1926,2011-02-27,20110227214533
73,Kalgoorlie Western Argus (WA : 1896-1916),Kalgoorlie Western Argus,WA,1896 - 1916,2011-02-27,20110227214533
127,"Kilmore Free Press (Kilmore, VIC : 1870-1954)",Kilmore Free Press,"Kilmore, VIC",1870 - 1954,2011-02-27,20110227214533
125,"Kilmore Free Press and Bourke and Dalhousie Advertiser (Kilmore, VIC : 1865)",Kilmore Free Press and Bourke and Dalhousie Advertiser,"Kilmore, VIC",1865,2011-02-27,20110227214533
74,Launceston Examiner (Tas. : 1842-1899),Launceston Examiner,TAS,1842 - 1899,2011-02-27,20110227214533
120,"Liverpool Herald (NSW, 1897-1907)",Liverpool Herald,,"NSW, 1897 - 1907",2011-02-27,20110227214533
102,Longreach Leader (Qld. :1923-1938),Longreach Leader,QLD,1923 - 1938,2011-02-27,20110227214533
75,"Mail (Adelaide, SA : 1912-1954)",Mail,"Adelaide, SA",1912 - 1954,2011-02-27,20110227214533
122,"Mercury (Fitzroy, Vic : 1875-1877)",Mercury,"Fitzroy, VIC",1875 - 1877,2011-02-27,20110227214533
123,Mercury and Weekly Courier (Vic: 1878-1903),Mercury and Weekly Courier,VIC,1878 - 1903,2011-02-27,20110227214533
76,"Monitor (Sydney, NSW : 1826-1828)",Monitor,"Sydney, NSW",1826 - 1828,2011-02-27,20110227214533
118,Moonta Herald (NT : 1869),Moonta Herald,NT,1869,2011-02-27,20110227214533
77,"Morning Bulletin (Rockhampton, Qld. : 1878-1954)",Morning Bulletin,"Rockhampton, QLD",1878 - 1954,2011-02-27,20110227214533
78,"Morning Chronicle (Sydney, NSW : 1843-1846)",Morning Chronicle,"Sydney, NSW",1843 - 1846,2011-02-27,20110227214533
79,"Morning Post (Cairns, Qld. : 1897-1907)",Morning Post,"Cairns, QLD",1897 - 1907,2011-02-27,20110227214533
80,"North Australian (Darwin, NT : 1883-1889)",North Australian,"Darwin, NT",1883 - 1889,2011-02-27,20110227214533
111,"North Australian and Northern Territory Government Gazette (Darwin, NT: 1889 -1890)",North Australian and Northern Territory Government Gazette,"Darwin, NT",1889 - 1890,2011-02-27,20110227214533
25,"Northern Standard (Darwin, NT : 1921-1955)",Northern Standard,"Darwin, NT",1921 - 1955,2011-02-27,20110227214533
84,Queanbeyan Age (NSW : 1867-1904),Queanbeyan Age,NSW,1867 - 1904,2011-02-27,20110227214533
113,Queanbeyan Age (NSW : 1904 -1907),Queanbeyan Age,NSW,1904 - 1907,2011-02-27,20110227214533
86,Queanbeyan Age (NSW : 1907 - 1915),Queanbeyan Age,NSW,1907 - 1915,2011-02-27,20110227214533
83,Queanbeyan Age and General Advertiser (NSW : 1864- 1867),Queanbeyan Age and General Advertiser,NSW,1864 - 1867,2011-02-27,20110227214533
87,Queanbeyan Age and Queanbeyan Observer (NSW : 1915-1927),Queanbeyan Age and Queanbeyan Observer,NSW,1915 - 1927,2011-02-27,20110227214533
119,Queanbeyan-Canberra Advocate (NSW : 1905-1927),Queanbeyan-Canberra Advocate,NSW,1905 - 1927,2011-02-27,20110227214533
89,"Register (Adelaide, SA : 1901-1929)",Register,"Adelaide, SA",1901 - 1929,2011-02-27,20110227214533
90,"Register News-Pictorial (Adelaide, SA : 1929-1931)",Register News-Pictorial,"Adelaide, SA",1929 - 1931,2011-02-27,20110227214533
91,Rockhampton Bulletin (Qld. : 1871-1878),Rockhampton Bulletin,QLD,1871 - 1878,2011-02-27,20110227214533
